Name,Identity,E_value,Length,ACC_number
hypothetical protein KY290_031028 [Solanum tuberosum],0.7941585535465925,0.0,715,KAH0743035
NADPH--cytochrome P450 reductase [Morella rubra],0.7936046511627907,0.0,679,KAB1204257
hypothetical protein I3842_07G194900 [Carya illinoinensis],0.7932489451476793,0.0,708,KAG6705735
hypothetical protein CIPAW_07G192400 [Carya illinoinensis],0.7932489451476793,0.0,701,KAG6649146
NADPH--cytochrome P450 reductase-like [Juglans microcarpa x Juglans regia],0.7932489451476793,0.0,708,XP_041019097
NADPH--cytochrome P450 reductase-like [Carya illinoinensis] >gb|KAG2699354.1| hypothetical protein I3760_07G189900 [Carya illinoinensis] >gb|KAG7972522.1| hypothetical protein I3843_07G188800 [Carya illinoinensis],0.7932489451476793,0.0,708,XP_042988331
NADPH-cytochrome P450 reductase 2 [Azadirachta indica],0.7929577464788733,0.0,715,AIG15452
NADPH--cytochrome reductase [Capsicum baccatum],0.7927677329624478,0.0,715,PHT42953
NADPH--cytochrome P450 reductase-like [Solanum verrucosum],0.7927677329624478,0.0,715,XP_049358676
NADPH--cytochrome P450 reductase-like [Solanum stenotomum],0.7927677329624478,0.0,715,XP_049414176
NADPH-cytochrome P450 reductase [Perilla frutescens var. hirtella],0.7927170868347339,0.0,709,BBA60202
NADPH--cytochrome reductase [Capsicum chinense],0.7913769123783032,0.0,715,PHU11896
hypothetical protein KY289_032045 [Solanum tuberosum],0.7913769123783032,0.0,715,KAH0654367
hypothetical protein KY284_031658 [Solanum tuberosum],0.7913769123783032,0.0,715,KAH0651746
hypothetical protein KY285_031908 [Solanum tuberosum],0.7913769123783032,0.0,715,KAH0657026
cytochrome P450 reductase [Perilla frutescens],0.7913165266106442,0.0,709,ADC94831
PREDICTED: NADPH--cytochrome P450 reductase [Nicotiana sylvestris] >ref|XP_016436428.1| PREDICTED: NADPH--cytochrome P450 reductase-like [Nicotiana tabacum],0.7907949790794979,0.0,713,XP_009795589
NADPH--cytochrome P450 reductase 2-like isoform X2 [Prosopis alba],0.7905982905982906,0.0,780,XP_028795065
NADPH--cytochrome P450 reductase-like isoform X1 [Capsicum annuum] >gb|KAF3634868.1| NADPH--cytochrome reductase [Capsicum annuum] >gb|KAF3639458.1| NADPH--cytochrome reductase [Capsicum annuum] >gb|PHT76069.1| NADPH--cytochrome reductase [Capsicum annuum],0.7899860917941586,0.0,715,XP_016580172
NADPH--cytochrome P450 reductase 2-like [Durio zibethinus],0.7887323943661971,0.0,714,XP_022755421
hypothetical protein H5410_036065 [Solanum commersonii],0.7885952712100139,0.0,715,KAG5594833
MFS transporter multidrug-resistance type transporter [Datura stramonium],0.7885952712100139,0.0,715,MCD9641443
NADPH:cytochrome P450 reductase [Coleus scutellarioides],0.788515406162465,0.0,711,CAQ37789
NADPH-dependent cytochrome P450 reductase [Camptotheca acuminata],0.7877094972067039,0.0,708,QNL13420
hypothetical protein SLEP1_g53976 [Shorea leprosula],0.7873239436619718,0.0,710,GKV47036
NADPH-cytochrome P450 reductase [Plectranthus barbatus] >gb|UPO25016.1| NADPH-cytochrome P450 reductase [synthetic construct],0.7871148459383753,0.0,711,AQZ55559
hypothetical protein SLEP1_g53976 [Shorea leprosula],0.7865497076023392,0.0,686,GKV47037
Cytochrome P450 reductase [Marrubium vulgare],0.786013986013986,0.0,709,QBS13811
NADPH--cytochrome P450 reductase-like isoform X2 [Capsicum annuum],0.7859195402298851,0.0,713,XP_047270986
hypothetical protein J1N35_012512 [Gossypium stocksii],0.7859154929577464,0.0,711,KAH1108744
NADPH--cytochrome P450 reductase-like [Capsicum annuum] >gb|AHG05740.1| cytochrome P450 reductase 2 [Capsicum annuum] >emb|CDI59406.1| Cytochrome P450 reductase 2 [Capsicum annuum],0.7858136300417247,0.0,715,NP_001312020
hypothetical protein F0562_030599 [Nyssa sinensis],0.7855072463768116,0.0,721,KAA8535596
NADPH--cytochrome P450 reductase-like isoform X1 [Prosopis alba],0.7854137447405329,0.0,707,XP_028795064
NADPH--cytochrome P450 reductase-like [Prosopis alba],0.7854137447405329,0.0,707,XP_028788834
NADPH--cytochrome P450 reductase 2 [Pistacia vera],0.7853107344632768,0.0,716,XP_031271023
NADPH-cytochrome P450 reductase [Camptotheca acuminata],0.7849162011173184,0.0,708,AJW67229
Flavodoxin [Corchorus capsularis],0.7848101265822784,0.0,710,OMO98203
NADPH--cytochrome P450 reductase 2-like [Gossypium australe],0.7845070422535211,0.0,711,KAA3471546
hypothetical protein I3842_07G194900 [Carya illinoinensis],0.7844036697247706,0.0,665,KAG6705733
hypothetical protein I3760_07G189900 [Carya illinoinensis] >gb|KAG7972520.1| hypothetical protein I3843_07G188800 [Carya illinoinensis],0.7844036697247706,0.0,665,KAG2699358
hypothetical protein NL676_036457 [Syzygium grande],0.7839046199701938,0.0,685,KAI6682576
hypothetical protein SLEP1_g13146 [Shorea leprosula],0.7832167832167832,0.0,710,GKV00462
NADPH-cytochrome P450 reductase [Ocimum basilicum],0.7832167832167832,0.0,710,ANW46529
NADP/FAD dependent oxidoreductase [Handroanthus impetiginosus],0.7832167832167832,0.0,712,PIN12849
NADPH--cytochrome P450 reductase 2 [Cannabis sativa],0.7829131652661064,0.0,710,XP_030477763
NADPH--cytochrome P450 reductase-like [Syzygium oleosum],0.7822822822822822,0.0,685,XP_030456398
NADPH-cytochrome P450 reductase [Ocimum basilicum],0.7818181818181819,0.0,707,ANW46530
NADPH--cytochrome P450 reductase-like [Salvia splendens] >gb|KAG6414417.1| hypothetical protein SASPL_127139 [Salvia splendens],0.7818181818181819,0.0,712,XP_041998569
NADPH--cytochrome P450 reductase 2 [Carica papaya],0.7816901408450704,0.0,708,XP_021912724
hypothetical protein F8388_008367 [Cannabis sativa] >gb|KAF4391175.1| hypothetical protein G4B88_016485 [Cannabis sativa] >gb|KAF4396005.1| hypothetical protein G4B88_020642 [Cannabis sativa],0.7815126050420168,0.0,710,KAF4352946
NADPH--cytochrome P450 reductase-like [Juglans regia] >gb|KAF5456317.1| hypothetical protein F2P56_025815 [Juglans regia],0.7812061711079944,0.0,708,XP_018831141
hypothetical protein FH972_013502 [Carpinus fangiana],0.7810320781032078,0.0,704,KAE8056759
cytochrome P450 reductase [Panax ginseng],0.7808823529411765,0.0,689,QEP99635
NADPH--cytochrome P450 reductase-like [Salvia splendens] >gb|KAG6383858.1| hypothetical protein SASPL_156371 [Salvia splendens],0.7807262569832403,0.0,713,XP_042044217
NADPH--cytochrome P450 reductase-like [Olea europaea subsp. europaea],0.7804195804195804,0.0,712,CAA2991716
NADPH--cytochrome P450 reductase-like [Salvia splendens],0.7804195804195804,0.0,712,XP_042002725
NADPH--cytochrome P450 reductase-like [Ipomoea triloba],0.7804195804195804,0.0,709,XP_031108978
NADPH--cytochrome P450 reductase 2-like [Gossypium hirsutum] >gb|KAG4132454.1| hypothetical protein ERO13_D08G034000v2 [Gossypium hirsutum],0.780281690140845,0.0,711,XP_016705252
hypothetical protein ES319_D08G031100v1 [Gossypium barbadense] >gb|TYH56612.1| hypothetical protein ES332_D08G032200v1 [Gossypium tomentosum] >gb|TYI67629.1| hypothetical protein E1A91_D08G031600v1 [Gossypium mustelinum],0.780281690140845,0.0,711,KAB2015514
P450 reductase 2 [Theobroma cacao],0.780281690140845,0.0,710,EOY31887
PREDICTED: NADPH--cytochrome P450 reductase 2 [Theobroma cacao],0.780281690140845,0.0,710,XP_007014268
NADPH--cytochrome P450 reductase 2-like [Durio zibethinus],0.7799717912552891,0.0,713,XP_022729926
PREDICTED: NADPH--cytochrome P450 reductase [Vitis vinifera],0.7793296089385475,0.0,705,XP_002270732
NADPH--cytochrome P450 reductase [Vitis vinifera],0.7793296089385475,0.0,705,RVW75508
hypothetical protein NL676_034693 [Syzygium grande],0.7791044776119403,0.0,660,KAI6680812
hypothetical protein CXB51_021696 [Gossypium anomalum],0.7788732394366197,0.0,711,KAG8485041
hypothetical protein ES288_D08G032500v1 [Gossypium darwinii],0.7788732394366197,0.0,711,TYG56051
LOW QUALITY PROTEIN: NADPH--cytochrome P450 reductase 2-like [Hibiscus syriacus],0.7788732394366197,0.0,710,XP_039071838
PREDICTED: NADPH--cytochrome P450 reductase 2-like [Gossypium raimondii],0.7788732394366197,0.0,711,XP_012473176
hypothetical protein ES319_A08G028600v1 [Gossypium barbadense],0.7788732394366197,0.0,711,KAB2068393
hypothetical protein CRG98_044144 [Punica granatum],0.7780938833570412,0.0,691,PKI35458
NADPH--cytochrome P450 reductase-like [Salvia splendens] >gb|KAG6430878.1| hypothetical protein SASPL_108951 [Salvia splendens],0.7779329608938548,0.0,713,XP_042050280
NADPH--cytochrome P450 reductase [Vitis riparia],0.7779329608938548,0.0,705,XP_034699648
unnamed protein product [Linum tenue],0.7777777777777778,0.023204,757,CAI0402961
NADPH--cytochrome P450 reductase-like [Olea europaea var. sylvestris],0.7776223776223776,0.0,712,XP_022871786
NADPH--cytochrome P450 reductase-like [Salvia hispanica],0.7776223776223776,0.0,712,XP_047948004
cytochrome P450 oxidoreductase [Ocimum basilicum],0.7776223776223776,0.0,707,AGC92176
NADPH--cytochrome P450 reductase-like [Panicum miliaceum],0.7775974025974026,0.0,707,RLM44322
hypothetical protein ES288_A08G031400v1 [Gossypium darwinii],0.7774647887323943,0.0,711,TYH04750
PREDICTED: NADPH--cytochrome P450 reductase 2-like [Gossypium arboreum] >gb|KHG21257.1| NADPH--cytochrome P450 reductase [Gossypium arboreum],0.7774647887323943,0.0,711,XP_017626504
LOW QUALITY PROTEIN: NADPH--cytochrome P450 reductase 2 [Gossypium hirsutum],0.7774647887323943,0.0,711,XP_040931506
cytochrome P450 reductase-like protein [Nothapodytes nimmoniana],0.7773109243697479,0.0,709,ACF35280
NADPH--cytochrome P450 reductase-like [Ziziphus jujuba var. spinosa] >gb|KAH7544662.1| hypothetical protein FEM48_Zijuj01G0009600 [Ziziphus jujuba var. spinosa],0.776657060518732,0.0,681,XP_015898145
PREDICTED: NADPH--cytochrome P450 reductase-like [Ipomoea nil] >ref|XP_019177979.1| PREDICTED: NADPH--cytochrome P450 reductase-like [Ipomoea nil],0.7762237762237763,0.0,706,XP_019177978
NADPH--cytochrome P450 reductase 2 [Punica granatum] >gb|OWM87016.1| hypothetical protein CDL15_Pgr016053 [Punica granatum],0.7762039660056658,0.0,706,XP_031373084
hypothetical protein E1A91_A08G030900v1 [Gossypium mustelinum] >gb|TYJ20933.1| hypothetical protein E1A91_A08G030900v1 [Gossypium mustelinum],0.776056338028169,0.0,711,TYJ20932
hypothetical protein ES332_A08G030800v1 [Gossypium tomentosum],0.776056338028169,0.0,711,TYI13034
hypothetical protein G4B88_016394 [Cannabis sativa],0.7759103641456583,0.0,706,KAF4383961
hypothetical protein GQ55_6G082300 [Panicum hallii var. hallii],0.775609756097561,0.0,707,PUZ50734
NADPH--cytochrome P450 reductase 2 [Senna tora],0.7752808988764045,0.0,706,KAF7838042
PREDICTED: NADPH--cytochrome P450 reductase-like [Erythranthe guttata] >gb|EYU20907.1| hypothetical protein MIMGU_mgv1a002097mg [Erythranthe guttata],0.7751396648044693,0.0,715,XP_012857359
hypothetical protein J1N35_032864 [Gossypium stocksii],0.7751060820367751,0.0,711,KAH1067877
NADPH--cytochrome P450 reductase 2 [Morus notabilis] >gb|EXB54742.1| NADPH--cytochrome P450 reductase [Morus notabilis],0.7749648382559775,0.0,715,XP_010093854
NADPH-cytochrome P450 reductase [Olea europaea subsp. europaea],0.7748917748917749,0.0,690,CAA2991717
hypothetical protein CISIN_1g005072mg [Citrus sinensis],0.7746478873239436,0.0,715,KDO43868
hypothetical protein CISIN_1g005072mg [Citrus sinensis],0.7746478873239436,0.0,714,KDO43871
NADPH--cytochrome P450 reductase 2 [Herrania umbratica],0.7746478873239436,0.0,710,XP_021276240
NADPH--cytochrome P450 reductase-like [Cynara cardunculus var. scolymus],0.7737430167597765,0.0,709,XP_024960139
NADPH--cytochrome P450 reductase [Striga asiatica],0.7734265734265734,0.0,712,GER52043
NADPH--cytochrome P450 reductase isoform X2 [Citrus sinensis] >ref|XP_024048185.1| NADPH--cytochrome P450 reductase isoform X2 [Citrus clementina] >gb|KAH9653922.1| NADPH--cytochrome P450 reductase 2 [Citrus sinensis],0.7732394366197183,0.0,714,XP_006474186
hypothetical protein CICLE_v10007535mg [Citrus clementina],0.7732394366197183,0.0,763,ESR66609
NADPH--cytochrome P450 reductase 2 [Citrus sinensis],0.7732394366197183,0.0,703,KAH9653925
hypothetical protein CICLE_v10007535mg [Citrus clementina],0.7732394366197183,0.0,764,ESR66610
NADPH--cytochrome P450 reductase isoform X1 [Citrus sinensis] >ref|XP_024048184.1| NADPH--cytochrome P450 reductase isoform X1 [Citrus clementina] >gb|KAH9653921.1| NADPH--cytochrome P450 reductase 2 [Citrus sinensis],0.7732394366197183,0.0,715,XP_006474185
NADPH--cytochrome p450 reductase [Phtheirospermum japonicum],0.7726638772663877,0.0,712,GFP93273
NADPH--cytochrome P450 reductase 2 [Citrus sinensis],0.7725988700564972,0.0,711,KAH9653926
NADPH--cytochrome P450 reductase isoform X1 [Panicum virgatum] >gb|KAG2582710.1| hypothetical protein PVAP13_6KG189400 [Panicum virgatum],0.7723577235772358,0.0,703,XP_039853497
NADPH--cytochrome P450 reductase-like [Camellia sinensis],0.7723463687150838,0.0,709,XP_028068476
hypothetical protein BT93_A1051 [Corymbia citriodora subsp. variegata],0.7723342939481268,0.0,685,KAF8042592
NADPH cytochrome P450 reductase [Picrorhiza kurrooa],0.772027972027972,0.0,710,AEW43314
"hypothetical protein EE612_043037, partial [Oryza sativa]",0.7718446601941747,0.0,651,KAB8107902
NADPH--cytochrome P450 reductase 2 [Citrus sinensis],0.7718309859154929,0.0,715,KAH9805926
NADPH--cytochrome P450 reductase 2 [Citrus sinensis],0.7718309859154929,0.0,703,KAH9805929
NADPH--cytochrome P450 reductase 2 [Citrus sinensis],0.7718309859154929,0.0,714,KAH9805927
NADPH--cytochrome P450 reductase 2-like [Durio zibethinus],0.7716312056737589,0.0,707,XP_022753389
PREDICTED: NADPH--cytochrome P450 reductase 2 [Gossypium arboreum] >gb|KHG09184.1| NADPH--cytochrome P450 reductase [Gossypium arboreum] >gb|TYJ32000.1| hypothetical protein E1A91_A05G006000v1 [Gossypium mustelinum],0.7708628005657708,0.0,710,XP_017645352
hypothetical protein ES319_A05G005800v1 [Gossypium barbadense],0.7708628005657708,0.0,710,KAB2079471
NADPH--cytochrome P450 reductase 2 [Striga hermonthica],0.7706293706293706,0.0,712,CAA0809722
hypothetical protein Vadar_013487 [Vaccinium darrowii],0.7706293706293706,0.0,708,KAH7860443
cytochrome P450 reductase [Panax ginseng] >gb|QEP99634.1| cytochrome P450 reductase [Panax ginseng],0.77046783625731,0.0,678,AIC73829
NADPH-cytochrome P450 reductase 2 [Panax ginseng],0.77046783625731,0.0,678,QRG28714
hypothetical protein LWI28_012677 [Acer negundo],0.7704225352112676,0.0,712,KAI9191735
"Os08g0243500, partial [Oryza sativa Japonica Group] >dbj|BAT04511.1| Os08g0243500, partial [Oryza sativa Japonica Group]",0.7702265372168284,0.0,651,BAF23260
NADPH--cytochrome P450 reductase 2 [Prunus persica] >gb|ONI27428.1| hypothetical protein PRUPE_1G085400 [Prunus persica],0.7699859747545582,0.0,710,XP_007227446
NADPH--cytochrome P450 reductase 2 [Striga hermonthica],0.7695530726256983,0.0,709,CAA0839426
hypothetical protein Vadar_033758 [Vaccinium darrowii],0.7695530726256983,0.0,702,KAH7856191
NADPH-cytochrome P450 reductase [Olea europaea subsp. europaea],0.7695530726256983,0.0,711,CAA3030082
hypothetical protein ES288_A05G006100v1 [Gossypium darwinii],0.7694483734087695,0.0,710,TYH14961
hypothetical protein ES332_A05G006400v1 [Gossypium tomentosum],0.7694483734087695,0.0,710,TYI24754
NADPH--cytochrome P450 reductase 2-like [Gossypium hirsutum] >gb|KAG4197146.1| hypothetical protein ERO13_A05G004900v2 [Gossypium hirsutum],0.7694483734087695,0.0,710,NP_001314398
NADPH--cytochrome P450 reductase 2-like [Quercus robur],0.7693389592123769,0.0,712,XP_050272579
hypothetical protein MLD38_006344 [Melastoma candidum],0.7692307692307693,0.0,697,KAI4380121
NADPH--cytochrome P450 reductase 2 [Citrus sinensis],0.7691218130311614,0.0,725,KAH9653923
NADPH--cytochrome P450 reductase 1-like [Hibiscus syriacus] >gb|KAE8682699.1| NADPH--cytochrome P450 reductase [Hibiscus syriacus],0.7690140845070422,0.0,712,XP_039024207
hypothetical protein CISIN_1g005072mg [Citrus sinensis],0.7690140845070422,0.0,710,KDO43869
NADPH--cytochrome P450 reductase 1-like [Ziziphus jujuba var. spinosa] >gb|KAH7544661.1| hypothetical protein FEM48_Zijuj01G0009500 [Ziziphus jujuba var. spinosa],0.7689075630252101,0.0,710,XP_015888193
"predicted protein, partial [Hordeum vulgare subsp. vulgare]",0.7686084142394822,0.0,642,BAJ99370
hypothetical protein CISIN_1g005072mg [Citrus sinensis],0.768595041322314,0.0,616,KDO43872
hypothetical protein L3X38_001602 [Prunus dulcis],0.7685834502103787,0.0,710,KAI5348715
hypothetical protein K1719_003416 [Acacia pycnantha],0.7685834502103787,0.0,707,KAI9125998
NADPH--cytochrome P450 reductase 2 [Prunus dulcis] >emb|VVA28058.1| PREDICTED: NADPH--cytochrome P450 reductase [Prunus dulcis],0.7685834502103787,0.0,710,XP_034224510
"P450 reductase 2, partial [Prunus dulcis]",0.7685834502103787,0.0,778,BBG92857
"NADPH--cytochrome P450 reductase, partial [Cucurbita argyrosperma subsp. sororia]",0.7684365781710915,0.0,757,KAG6586079
hypothetical protein [Gossypium davidsonii],0.768033946251768,0.0,710,MBA0637783
NADPH--cytochrome P450 reductase 2-like [Quercus lobata],0.7679324894514767,0.0,714,XP_030955133
NADPH:cytochrome P450 reductase [Salvia miltiorrhiza],0.7678321678321678,0.0,705,CBX24555
NADPH--cytochrome P450 reductase-like [Rhodamnia argentea],0.7676767676767676,0.0,685,XP_030535596
Flavodoxin-like [Trema orientale],0.7676056338028169,0.0,691,PON42289
P450 reductase 2 [Actinidia rufa],0.7675070028011205,0.0,778,GFS36106
unnamed protein product [Prunus armeniaca],0.7675070028011205,0.0,710,CAB4292884
hypothetical protein GBA52_004863 [Prunus armeniaca],0.7675070028011205,0.0,710,KAH0993380
PREDICTED: NADPH--cytochrome P450 reductase 2 [Prunus mume],0.7675070028011205,0.0,710,XP_008223694
hypothetical protein FNV43_RR03218 [Rhamnella rubrinervis],0.7675070028011205,0.0,702,KAF3452785
hypothetical protein PR202_gb25466 [Eleusine coracana subsp. coracana],0.7669902912621359,0.0,693,GJN36590
hypothetical protein BDA96_06G268900 [Sorghum bicolor],0.7669902912621359,0.0,694,KAG0527850
NADPH--cytochrome P450 reductase [Sorghum bicolor] >gb|EES11568.1| hypothetical protein SORBI_3006G245400 [Sorghum bicolor] >dbj|BCG55965.1| NADPH-cytochrome P450 reductase [Sorghum bicolor],0.7669902912621359,0.0,694,XP_002447240
NADPH--cytochrome P450 reductase [Actinidia chinensis var. chinensis],0.7667597765363129,0.0,697,PSS21080
NADPH:cytochrome P450 reductase [Gossypium hirsutum],0.7666195190947667,0.0,710,ACN54324
hypothetical protein CXB51_013458 [Gossypium anomalum],0.7666195190947667,0.0,710,KAG8495748
PREDICTED: NADPH--cytochrome P450 reductase 2 [Gossypium raimondii] >gb|KAB2027028.1| hypothetical protein ES319_D05G006100v1 [Gossypium barbadense] >gb|KJB53794.1| hypothetical protein B456_009G005600 [Gossypium raimondii] >gb|TYG66507.1| hypothetical protein ES288_D05G006100v1 [Gossypium darwinii],0.7666195190947667,0.0,710,XP_012444843
hypothetical protein L6452_26953 [Arctium lappa],0.7664335664335664,0.0,709,KAI3701692
NADPH--cytochrome P450 reductase-like [Carya illinoinensis] >ref|XP_042990921.1| NADPH--cytochrome P450 reductase-like [Carya illinoinensis] >ref|XP_042990922.1| NADPH--cytochrome P450 reductase-like [Carya illinoinensis] >ref|XP_042990923.1| NADPH--cytochrome P450 reductase-like [Carya illinoinensis] >ref|XP_042990924.1| NADPH--cytochrome P450 reductase-like [Carya illinoinensis] >ref|XP_042990925.1| NADPH--cytochrome P450 reductase-like [Carya illinoinensis] >ref|XP_042990926.1| NADPH--cytochrome P450 reductase-like [Carya illinoinensis] >gb|KAG6644159.1| hypothetical protein CIPAW_08G036100 [Carya illinoinensis] >gb|KAG6698796.1| hypothetical protein I3842_08G036600 [Carya illinoinensis] >gb|KAG7966175.1| hypothetical protein I3843_08G036300 [Carya illinoinensis],0.7661971830985915,0.0,708,XP_042990920
NADPH--cytochrome P450 reductase-like [Momordica charantia],0.7661064425770309,0.0,708,XP_022153316
"PREDICTED: NADPH--cytochrome P450 reductase-like [Daucus carota subsp. sativus] >gb|ALO61924.1| NADPH cytochrome P450 oxidoreductase, partial [Daucus carota]",0.7660818713450293,0.0,681,XP_017252783
NADPH--cytochrome P450 reductase 2-like [Hibiscus syriacus],0.7657784011220197,0.0,708,XP_039035857
hypothetical protein RHSIM_Rhsim01G0004300 [Rhododendron simsii],0.7653631284916201,0.0,708,KAF7154799
hypothetical protein HHK36_006450 [Tetracentron sinense],0.7653631284916201,0.0,705,KAF8407323
P450 reductase 2 [Actinidia rufa],0.7653631284916201,0.0,701,GFY80691
NADPH--cytochrome P450 reductase 2-like [Mangifera indica],0.7652050919377652,0.0,716,XP_044471840
hypothetical protein ES332_D05G006300v1 [Gossypium tomentosum],0.7652050919377652,0.0,710,TYH68718
NADPH--cytochrome P450 reductase 2 [Gossypium hirsutum] >gb|KAG4143957.1| hypothetical protein ERO13_D05G005800v2 [Gossypium hirsutum],0.7652050919377652,0.0,710,XP_016690371
hypothetical protein E1A91_D05G005800v1 [Gossypium mustelinum],0.7652050919377652,0.0,710,TYI79197
NADPH--cytochrome P450 reductase-like [Salvia splendens] >gb|KAG6427831.1| hypothetical protein SASPL_112078 [Salvia splendens],0.765034965034965,0.0,712,XP_042054710
hypothetical protein CUMW_026910 [Citrus unshiu],0.7647887323943662,0.0,715,GAY37157
hypothetical protein I3760_08G036800 [Carya illinoinensis],0.7647887323943662,0.0,708,KAG2692116
NADPH--cytochrome P450 reductase 2 [Prunus yedoensis var. nudiflora],0.7647887323943662,0.0,707,PQQ01698
unnamed protein product [Prunus armeniaca],0.7647058823529411,0.0,710,CAB4262286
NADPH--cytochrome P450 reductase-like [Panicum hallii] >gb|PAN34340.1| hypothetical protein PAHAL_6G086300 [Panicum hallii],0.7646103896103896,0.0,696,XP_025821526
hypothetical protein EUGRSUZ_C02330 [Eucalyptus grandis],0.7643758765778401,0.0,711,KCW80967
NADPH--cytochrome P450 reductase 1 [Eucalyptus grandis],0.7643758765778401,0.0,711,XP_010048643
hypothetical protein Leryth_012280 [Lithospermum erythrorhizon],0.7642163661581137,0.0,721,KAG9148334
hypothetical protein EUGRSUZ_C02330 [Eucalyptus grandis],0.7641921397379913,0.0,703,KCW80968
NADPH--cytochrome P450 reductase 2-like [Quercus suber],0.7641242937853108,0.0,710,XP_023913691
hypothetical protein Leryth_012280 [Lithospermum erythrorhizon],0.7640287769784173,0.0,696,KAG9148335
NADPH--cytochrome P450 reductase 2-like [Mangifera indica],0.7637906647807637,0.0,712,XP_044464149
NADPH--cytochrome P450 reductase 2 [Gossypium australe],0.7636363636363637,0.0,718,KAA3490334
oxidoreductase protein [Spatholobus suberectus],0.7636363636363637,0.0,704,TKY54569
nadph--cytochrome p450 reductase 2 [Quercus suber],0.7634560906515581,0.0,733,POF08994
PREDICTED: NADPH--cytochrome P450 reductase-like [Erythranthe guttata] >gb|EYU42400.1| hypothetical protein MIMGU_mgv1a002170mg [Erythranthe guttata],0.7633053221288515,0.0,705,XP_012831282
NADPH--cytochrome P450 reductase 2 [Prunus avium],0.7633053221288515,0.0,710,XP_021810039
NADPH--cytochrome P450 reductase-like [Juglans regia] >gb|KAF5461753.1| hypothetical protein F2P56_017826 [Juglans regia],0.7633053221288515,0.0,708,XP_018820842
hypothetical protein L1987_27988 [Smallanthus sonchifolius],0.7633053221288515,0.0,812,KAI3805530
NADPH cytochrome P450 oxidoreductase [Thapsia garganica],0.7631578947368421,0.0,681,ALO61916
